household_id,person_id,country,sex,age,relhh,marstat,educ,hosp12,wat_source,stove,refrigerator,tv,bike,motorbike,computer,car,video,stereo,sew,merge_index
1.01E+14,4,Tanzania,0,15,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,9951
1.70E+15,1,Tanzania,0,47,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,14963
4.04E+14,2,Tanzania,1,35,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,10649
8.04E+14,3,Tanzania,0,21,3,0,1,0,0,1,0,0,1,0,0,0,0,1,1,12689
1.80E+15,3,Tanzania,1,23,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,15557
1.80E+15,1,Tanzania,1,41,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,15544
5.30E+15,1,Tanzania,0,57,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,17008
1.03E+14,3,Tanzania,0,14,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,10002
7.01E+14,1,Tanzania,0,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11168
7.03E+14,1,Tanzania,0,33,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,12192
7.03E+14,2,Tanzania,1,40,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,12434
2.02E+14,3,Tanzania,1,21,3,0,1,0,0,1,0,0,0,0,0,0,0,1,1,10112
3.03E+14,3,Tanzania,0,19,3,0,1,0,0,0,0,1,1,0,0,0,1,1,0,10335
7.01E+14,2,Tanzania,1,37,2,1,1,0,1,1,0,1,0,0,0,0,0,0,1,11822
7.02E+14,3,Tanzania,1,21,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,11876
1.00E+15,1,Tanzania,1,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13370
1.60E+15,3,Tanzania,0,24,3,1,1,0,0,1,0,0,1,0,0,0,0,1,0,14728
9.01E+14,1,Tanzania,0,92,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,12783
7.01E+14,2,Tanzania,1,34,2,1,3,0,1,1,1,1,0,0,1,1,1,1,1,11552
9.01E+14,3,Tanzania,0,19,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12805
1.41E+15,2,Tanzania,0,35,4,0,2,0,0,1,1,1,1,0,0,1,0,0,0,14452
7.03E+14,2,Tanzania,1,49,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,12249
1.00E+15,2,Tanzania,1,50,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,13333
7.03E+14,1,Tanzania,0,35,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,12302
3.02E+14,2,Tanzania,1,45,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,10327
1.81E+15,1,Tanzania,0,33,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,15621
7.01E+14,7,Tanzania,0,17,4,0,1,0,1,1,1,1,0,0,1,0,1,1,0,11149
